 1      0.08188747      0.51404480      0.37296719      0.03071707
 2      0.07333721      0.16821075      0.15524362      0.55406944
 3      0.06586416      0.04771664      0.19964243      0.04933413
 4      0.05931043      0.00925839      0.11038842      0.14344913
 5      0.05354437      0.00029889      0.04593420      0.09637763
 6      0.04845572      0.00115291      0.01507690      0.04486939
 7      0.04395176      0.00450341      0.00328226      0.01666773
 8      0.03995418      0.00778615      0.00014303      0.00463906
 9      0.03639657      0.01025714      0.00035451      0.00063921
10      0.03322244      0.01184078      0.00155142      0.00001655
11      0.03038354      0.01267723      0.00278955      0.00056796
12      0.02783853      0.01294962      0.00375556      0.00136036
13      0.02555188      0.01282373      0.00439536      0.00204837
14      0.02349294      0.01243185      0.00474892      0.00253848
15      0.02163520      0.01187317      0.00488079      0.00283533
16      0.01995567      0.01121918      0.00485313      0.00297508
17      0.01843436      0.01051997      0.00471725      0.00299839
18      0.01705382      0.00980965      0.00451240      0.00294074
19      0.01579882      0.00911081      0.00426729      0.00283008
20      0.01465599      0.00843780      0.00400222      0.00268719
21      0.01361359      0.00779921      0.00373118      0.00252696
22      0.01266128      0.00719963      0.00346347      0.00235972
23      0.01178994      0.00664098      0.00320507      0.00219246
24      0.01099151      0.00612332      0.00295958      0.00202970
25      0.01025882      0.00564560      0.00272897      0.00187426
26      0.00958554      0.00520602      0.00251411      0.00172774
27      0.00896601      0.00480236      0.00231511      0.00159092
28      0.00839521      0.00443223      0.00213158      0.00146403
29      0.00786863      0.00409313      0.00196286      0.00134692
30      0.00738226      0.00378265      0.00180809      0.00123923
31      0.00693249      0.00349841      0.00166634      0.00114046
32      0.00651609      0.00323819      0.00153664      0.00105003
33      0.00613015      0.00299991      0.00141804      0.00096733
34      0.00577205      0.00278163      0.00130962      0.00089176
35      0.00543945      0.00258157      0.00121050      0.00082273
36      0.00513019      0.00239811      0.00111986      0.00075967
37      0.00484236      0.00222974      0.00103695      0.00070207
38      0.00457422      0.00207511      0.00096107      0.00064943
39      0.00432418      0.00193299      0.00089158      0.00060129
40      0.00409072      0.00180222      0.00082789      0.00055725
41      0.00387279      0.00168190      0.00076950      0.00051695
42      0.00366894      0.00157099      0.00071590      0.00048002
43      0.00347818      0.00146871      0.00066666      0.00044616
44      0.00329952      0.00137429      0.00062138      0.00041508
45      0.00313199      0.00128703      0.00057971      0.00038653
46      0.00297496      0.00120638      0.00054135      0.00036030
47      0.00282773      0.00113181      0.00050602      0.00033619
48      0.00268892      0.00106253      0.00047333      0.00031392
49      0.00255865      0.00099839      0.00044318      0.00029342
50      0.00243609      0.00093886      0.00041530      0.00027450
51      0.00232069      0.00088357      0.00038951      0.00025703
52      0.00221197      0.00083216      0.00036562      0.00024088
53      0.00210946      0.00078433      0.00034348      0.00022594
54      0.00201276      0.00073980      0.00032294      0.00021209
55      0.00192147      0.00069829      0.00030386      0.00019926
56      0.00183524      0.00065957      0.00028613      0.00018736
57      0.00175373      0.00062343      0.00026963      0.00017630
58      0.00167665      0.00058967      0.00025427      0.00016602
59      0.00160370      0.00055810      0.00023997      0.00015646
60      0.00153463      0.00052857      0.00022662      0.00014756
61      0.00146920      0.00050091      0.00021417      0.00013927
62      0.00140717      0.00047500      0.00020253      0.00013153
63      0.00134835      0.00045070      0.00019166      0.00012431
64      0.00129253      0.00042790      0.00018149      0.00011757
65      0.00123953      0.00040648      0.00017197      0.00011126
66      0.00118919      0.00038637      0.00016304      0.00010536
67      0.00114135      0.00036745      0.00015468      0.00009984
68      0.00109586      0.00034965      0.00014683      0.00009467
69      0.00105259      0.00033289      0.00013946      0.00008982
70      0.00101141      0.00031710      0.00013254      0.00008526
71      0.00097219      0.00030222      0.00012603      0.00008099
72      0.00093484      0.00028818      0.00011991      0.00007698
73      0.00089924      0.00027493      0.00011415      0.00007320
74      0.00086530      0.00026241      0.00010872      0.00006965
75      0.00083292      0.00025059      0.00010360      0.00006630
76      0.00080202      0.00023941      0.00009878      0.00006315
77      0.00077253      0.00022884      0.00009422      0.00006018
78      0.00074436      0.00021883      0.00008992      0.00005738
79      0.00071745      0.00020935      0.00008586      0.00005474
80      0.00069173      0.00020036      0.00008202      0.00005225
81      0.00066713      0.00019185      0.00007839      0.00004989
82      0.00064364      0.00018378      0.00007495      0.00004766
83      0.00062110      0.00017611      0.00007169      0.00004555
84      0.00059955      0.00016883      0.00006861      0.00004355
85      0.00057892      0.00016192      0.00006568      0.00004166
86      0.00055915      0.00015535      0.00006291      0.00003987
87      0.00054021      0.00014910      0.00006028      0.00003817
88      0.00052206      0.00014316      0.00005778      0.00003656
89      0.00050465      0.00013751      0.00005541      0.00003504
90      0.00048795      0.00013213      0.00005316      0.00003359
91      0.00047193      0.00012700      0.00005101      0.00003221
92      0.00045655      0.00012212      0.00004898      0.00003090
93      0.00044178      0.00011746      0.00004704      0.00002965
94      0.00042760      0.00011302      0.00004519      0.00002847
95      0.00041397      0.00010878      0.00004343      0.00002734
96      0.00040088      0.00010474      0.00004176      0.00002627
97      0.00038829      0.00010087      0.00004016      0.00002525
