 1      0.14454706      0.66367712      0.18895290      0.00210510
 2      0.11833690      0.06685545      0.53604905      0.27627705
 3      0.09776389      0.00029810      0.13981694      0.48074312
 4      0.08144045      0.00819063      0.01517422      0.13464316
 5      0.06836038      0.01881331      0.00003172      0.01621424
 6      0.05778389      0.02386010      0.00452618      0.00001579
 7      0.04916017      0.02475194      0.00894827      0.00301804
 8      0.04207424      0.02344032      0.01091943      0.00657484
 9      0.03621058      0.02118632      0.01114796      0.00823205
10      0.03132482      0.01867254      0.01046473      0.00847846
11      0.02722965      0.01623432      0.00940281      0.00798063
12      0.02377693      0.01401568      0.00824989      0.00717138
13      0.02085004      0.01206332      0.00714555      0.00628483
14      0.01835627      0.01037660      0.00614850      0.00543410
15      0.01622135      0.00893400      0.00527606      0.00466651
16      0.01438540      0.00770655      0.00452573      0.00399598
17      0.01279982      0.00666438      0.00388644      0.00342051
18      0.01142497      0.00577969      0.00334432      0.00293133
19      0.01022831      0.00502788      0.00288544      0.00251746
20      0.00918297      0.00438778      0.00249698      0.00216792
21      0.00826669      0.00384148      0.00216772      0.00187268
22      0.00746093      0.00337396      0.00188807      0.00162297
23      0.00675015      0.00297267      0.00164994      0.00141130
24      0.00612132      0.00262718      0.00144659      0.00123141
25      0.00556341      0.00232879      0.00127240      0.00107806
26      0.00506711      0.00207030      0.00112273      0.00094694
27      0.00462443      0.00184566      0.00099369      0.00083445
28      0.00422865      0.00164986      0.00088210      0.00073762
29      0.00387396      0.00147868      0.00078529      0.00065401
30      0.00355537      0.00132860      0.00070105      0.00058158
31      0.00326858      0.00119665      0.00062751      0.00051863
32      0.00300989      0.00108032      0.00056313      0.00046375
33      0.00277607      0.00097748      0.00050660      0.00041576
34      0.00256433      0.00088634      0.00045683      0.00037368
35      0.00237222      0.00080537      0.00041289      0.00033667
36      0.00219761      0.00073326      0.00037400      0.00030402
37      0.00203863      0.00066889      0.00033949      0.00027516
38      0.00189365      0.00061131      0.00030879      0.00024958
39      0.00176123      0.00055968      0.00028142      0.00022684
40      0.00164007      0.00051329      0.00025696      0.00020658
41      0.00152907      0.00047153      0.00023505      0.00018849
42      0.00142722      0.00043386      0.00021539      0.00017230
43      0.00133364      0.00039982      0.00019770      0.00015779
44      0.00124754      0.00036900      0.00018176      0.00014474
45      0.00116821      0.00034104      0.00016737      0.00013299
46      0.00109504      0.00031564      0.00015435      0.00012239
47      0.00102746      0.00029253      0.00014256      0.00011281
48      0.00096497      0.00027147      0.00013185      0.00010413
49      0.00090711      0.00025223      0.00012211      0.00009626
50      0.00085349      0.00023465      0.00011324      0.00008910
51      0.00080374      0.00021855      0.00010515      0.00008259
52      0.00075753      0.00020379      0.00009776      0.00007665
53      0.00071457      0.00019024      0.00009100      0.00007123
54      0.00067458      0.00017778      0.00008480      0.00006628
55      0.00063733      0.00016631      0.00007912      0.00006174
56      0.00060259      0.00015573      0.00007389      0.00005757
57      0.00057017      0.00014598      0.00006909      0.00005375
58      0.00053987      0.00013696      0.00006466      0.00005023
59      0.00051155      0.00012862      0.00006058      0.00004700
60      0.00048504      0.00012090      0.00005681      0.00004401
61      0.00046022      0.00011374      0.00005332      0.00004126
62      0.00043694      0.00010710      0.00005010      0.00003871
63      0.00041511      0.00010093      0.00004711      0.00003636
64      0.00039462      0.00009519      0.00004434      0.00003418
65      0.00037536      0.00008984      0.00004176      0.00003216
66      0.00035725      0.00008487      0.00003937      0.00003028
67      0.00034021      0.00008023      0.00003715      0.00002854
68      0.00032417      0.00007589      0.00003507      0.00002692
69      0.00030905      0.00007185      0.00003314      0.00002541
70      0.00029480      0.00006806      0.00003134      0.00002400
71      0.00028135      0.00006452      0.00002966      0.00002269
72      0.00026865      0.00006120      0.00002808      0.00002146
73      0.00025666      0.00005809      0.00002661      0.00002032
74      0.00024532      0.00005518      0.00002523      0.00001925
75      0.00023459      0.00005244      0.00002394      0.00001825
76      0.00022444      0.00004987      0.00002273      0.00001731
77      0.00021483      0.00004745      0.00002160      0.00001643
78      0.00020572      0.00004517      0.00002053      0.00001561
79      0.00019709      0.00004303      0.00001953      0.00001483
80      0.00018890      0.00004101      0.00001859      0.00001411
81      0.00018113      0.00003911      0.00001770      0.00001342
82      0.00017375      0.00003732      0.00001686      0.00001278
83      0.00016674      0.00003562      0.00001608      0.00001217
84      0.00016007      0.00003402      0.00001534      0.00001160
85      0.00015373      0.00003251      0.00001463      0.00001107
86      0.00014770      0.00003108      0.00001397      0.00001056
87      0.00014196      0.00002973      0.00001335      0.00001008
88      0.00013650      0.00002845      0.00001276      0.00000963
89      0.00013129      0.00002723      0.00001220      0.00000920
90      0.00012633      0.00002608      0.00001167      0.00000879
91      0.00012159      0.00002499      0.00001117      0.00000841
92      0.00011708      0.00002395      0.00001069      0.00000805
93      0.00011277      0.00002297      0.00001024      0.00000770
94      0.00010865      0.00002204      0.00000982      0.00000738
95      0.00010472      0.00002115      0.00000941      0.00000707
96      0.00010096      0.00002031      0.00000903      0.00000678
97      0.00009737      0.00001951      0.00000866      0.00000650
98      0.00009394      0.00001874      0.00000831      0.00000623
99      0.00009065      0.00001802      0.00000798      0.00000598
**      0.00008751      0.00001732      0.00000767      0.00000575
**      0.00008450      0.00001666      0.00000737      0.00000552
**      0.00008161      0.00001603      0.00000709      0.00000530
**      0.00007885      0.00001543      0.00000681      0.00000510
**      0.00007620      0.00001486      0.00000656      0.00000490
**      0.00007367      0.00001432      0.00000631      0.00000471
**      0.00007123      0.00001379      0.00000607      0.00000454
