     17.00000000     20.30000076      0.41997519      0.41148241      0.09381026      0.03374988      0.01551090      0.00828681      0.00490093      0.00311850      0.00209688      0.00147201
     17.00000000     20.40000077      0.41779064      0.41423850      0.09367052      0.03360058      0.01541956      0.00823092      0.00486521      0.00309461      0.00208027      0.00146008
     17.00000000     20.50000077      0.41561658      0.41698249      0.09352881      0.03345196      0.01532897      0.00817559      0.00482987      0.00307101      0.00206387      0.00144829
     18.00000000     19.50000000      0.42124002      0.40927746      0.09426167      0.03399295      0.01562914      0.00834757      0.00493399      0.00313729      0.00210789      0.00147858
     18.00000000     19.60000000      0.41899098      0.41212367      0.09411582      0.03383666      0.01553350      0.00828909      0.00489663      0.00311234      0.00209057      0.00146614
     18.00000000     19.70000000      0.41675485      0.41495478      0.09396782      0.03368119      0.01543872      0.00823125      0.00485973      0.00308772      0.00207348      0.00145388
     18.00000000     19.80000000      0.41452904      0.41777386      0.09381781      0.03352645      0.01534474      0.00817399      0.00482324      0.00306339      0.00205659      0.00144177
     18.00000000     19.90000001      0.41231438      0.42057992      0.09366582      0.03337245      0.01525156      0.00811732      0.00478717      0.00303934      0.00203992      0.00142981
     19.00000000     19.00000000      0.41696550      0.41408980      0.09434898      0.03384902      0.01551092      0.00826391      0.00487488      0.00309459      0.00207624      0.00145455
     19.00000000     19.10000000      0.41468305      0.41699010      0.09419172      0.03368770      0.01541308      0.00820429      0.00483700      0.00306937      0.00205876      0.00144203
     19.00000000     19.20000000      0.41241312      0.41987546      0.09403237      0.03352724      0.01531615      0.00814553      0.00479959      0.00304446      0.00204152      0.00142968
     19.00000000     19.30000000      0.41015459      0.42274743      0.09387101      0.03336761      0.01522007      0.00808729      0.00476260      0.00301987      0.00202450      0.00141749
     19.00000000     19.40000001      0.40790780      0.42560558      0.09370770      0.03320880      0.01512483      0.00802967      0.00472605      0.00299558      0.00200769      0.00140547
     20.00000000     18.00000000      0.42545438      0.40267039      0.09529184      0.03461427      0.01594793      0.00851905      0.00503175      0.00319585      0.00214439      0.00150204
     20.00000000     18.10000000      0.42307502      0.40570041      0.09513520      0.03444309      0.01584282      0.00845477      0.00499074      0.00316851      0.00212543      0.00148846
     20.00000000     18.20000000      0.42070792      0.40871576      0.09497620      0.03427284      0.01573870      0.00839122      0.00495024      0.00314153      0.00210674      0.00147508
     20.00000000     18.30000000      0.41835295      0.41171658      0.09481491      0.03410352      0.01563557      0.00832839      0.00491024      0.00311490      0.00208830      0.00146188
     20.00000000     18.40000001      0.41601029      0.41470270      0.09465139      0.03393513      0.01553340      0.00826627      0.00487074      0.00308862      0.00207012      0.00144886
     21.00000000     17.50000000      0.42328429      0.40479474      0.09553151      0.03462227      0.01592118      0.00849081      0.00500783      0.00317655      0.00212894      0.00148962
     21.00000000     17.60000000      0.42086503      0.40788721      0.09536508      0.03444521      0.01581308      0.00842493      0.00496599      0.00314866      0.00210964      0.00147582
     21.00000000     17.70000000      0.41845643      0.41096686      0.09519637      0.03426912      0.01570597      0.00835977      0.00492448      0.00312112      0.00209060      0.00146220
     21.00000000     17.80000076      0.41606117      0.41403032      0.09502531      0.03409406      0.01559993      0.00829539      0.00488361      0.00309396      0.00207183      0.00144879
     21.00000000     17.90000077      0.41367869      0.41707834      0.09485201      0.03392002      0.01549493      0.00823176      0.00484325      0.00306718      0.00205333      0.00143557
     22.00000000     17.10000000      0.41951802      0.40898013      0.09564968      0.03450784      0.01582055      0.00841789      0.00495567      0.00313858      0.00210065      0.00146807
     22.00000000     17.20000000      0.41706641      0.41212604      0.09547193      0.03432562      0.01571017      0.00835092      0.00491319      0.00311039      0.00208119      0.00145418
     22.00000000     17.30000000      0.41462806      0.41525572      0.09529183      0.03414451      0.01560091      0.00828476      0.00487127      0.00308259      0.00206201      0.00144049
     23.00000000     16.60000000      0.41898540      0.40902977      0.09599149      0.03463037      0.01586446      0.00843301      0.00495953      0.00313788      0.00209816      0.00146498
     23.00000000     16.70000000      0.41648726      0.41224662      0.09580540      0.03444162      0.01575042      0.00836396      0.00491580      0.00310891      0.00207819      0.00145074
     23.00000000     16.80000000      0.41400297      0.41544634      0.09561691      0.03425410      0.01563759      0.00829577      0.00487267      0.00308036      0.00205852      0.00143672
     24.00000000     16.10000000      0.41922513      0.40807938      0.09639225      0.03481262      0.01594439      0.00846993      0.00497717      0.00314632      0.00210197      0.00146639
     24.00000000     16.20000000      0.41667748      0.41137135      0.09619847      0.03461692      0.01582630      0.00839851      0.00493201      0.00311644      0.00208140      0.00145174
