 100   -154.56780074    -40.54797868    -17.85356720     -8.66714151     -3.00428756
 110   -156.40843933    -40.92941069    -17.99215352     -8.74306425     -3.06068293
 120   -157.97809798    -41.24800819    -18.10690995     -8.80555329     -3.10691516
 130   -159.32849416    -41.51683090    -18.20299933     -8.85760778     -3.14529714
 140   -160.49925794    -41.74569216    -18.28424889     -8.90142680     -3.17751266
 150   -161.52126203    -41.94209205    -18.35354890     -8.93865558     -3.20481373
 160   -162.41889618    -42.11184632    -18.41311694     -8.97054627     -3.22814821
 170   -163.21168632    -42.25952778    -18.46468008     -8.99806716     -3.24824568
 180   -163.91542645    -42.38877123    -18.50959941     -9.02197662     -3.26567528
 190   -164.54298204    -42.50248726    -18.54895635     -9.04287389     -3.28088510
 200   -165.10498751    -42.60304352    -18.58362437     -9.06124060     -3.29423415
 210   -165.61024434    -42.69236872    -18.61431039     -9.07746485     -3.30601089
 220   -166.06616537    -42.77206388    -18.64159774     -9.09186558     -3.31645179
 230   -166.47894518    -42.84344669    -18.66596382     -9.10470291     -3.32574923
 240   -166.85384313    -42.90762062    -18.68780639     -9.11619282     -3.33406265
 250   -167.19534391    -42.96551436    -18.70745862     -9.12651571     -3.34152494
 260   -167.50728172    -43.01791143    -18.72520034     -9.13582266     -3.34824721
 270   -167.79295651    -43.06547786    -18.74126841     -9.14424125     -3.35432311
 280   -168.05522399    -43.10878377    -18.75586488     -9.15188003     -3.35983225
 290   -168.29655772    -43.14831656    -18.76916174     -9.15883122     -3.36484213
 300   -168.51912305    -43.18449888    -18.78130769     -9.16517438     -3.36941094
 310   -168.72480215    -43.21769387    -18.79243006     -9.17097751     -3.37358833
 320   -168.91524996    -43.24821768    -18.80263935     -9.17629953     -3.37741729
 330   -169.09192617    -43.27634642    -18.81203180     -9.18119167     -3.38093514
 340   -169.25611900    -43.30232159    -18.82069136     -9.18569853     -3.38417438
 350   -169.40896834    -43.32635475    -18.82869136     -9.18985904     -3.38716330
